type,experiment,arch,imgsz,seed,epochs,best_ep,mAP50,mAP50_95,precision,recall,last_mAP50,train_box,train_cls,val_box,val_cls,test_score,zip_mb,weights,azure_job,created,notes
training,fulldata_x_s77,yolov8x,640,77,200,,,,,,,,,,,,,,jovial_glove_730h6klztt,2026-03-20T20:00:00,seed77 fulldata
training,fulldata_x_s123,yolov8x,640,123,200,,,,,,,,,,,,,,shy_sugar_q2clmwt571,2026-03-20T20:00:00,seed123 fulldata
training,fulldata_x_800,yolov8x,800,42,200,,,,,,,,,,,,,,kind_card_ty66lqh6px,2026-03-20T20:00:00,800px fulldata
training,fulldata_11x_s42,yolo11x,640,42,200,,,,,,,,,,,,,,modest_spring_qs9d65pxl8,2026-03-20T20:00:00,YOLO11x fulldata
training,fulldata_cls15_combo,yolov8x,640,42,200,,,,,,,,,,,,,,calm_tray_v0f521fz4k,2026-03-20T20:00:00,cls=1.5+aug fulldata
training,fulldata_x_300ep,yolov8x,640,42,300,,,,,,,,,,,,,,joyful_puppy_wt500h4tb7,2026-03-20T20:00:00,300ep fulldata
training,fulldata_l_s42,yolov8l,640,42,200,,,,,,,,,,,,,,cyan_picture_13ygln8m3g,2026-03-20T20:00:00,yolov8l fulldata
training,fulldata_yolo26x_s42,yolo26x,640,42,200,,,,,,,,,,,,,,lemon_flower_8xc864224w,2026-03-20T21:00:00,YOLO26x fulldata
training,fulldata_yolo26x_s77,yolo26x,640,77,200,,,,,,,,,,,,,,silver_fig_n2c37xgdc8,2026-03-20T21:00:00,YOLO26x seed77
training,fulldata_rtdetr_l_s42,rtdetr-l,640,42,200,,,,,,,,,,,,,,placid_cheese_vvmxmdczg2,2026-03-20T21:00:00,RT-DETR transformer
training,fulldata_x_labelsmooth,yolov8x,640,42,200,,,,,,,,,,,,,,neat_needle_2sst6q8k1f,2026-03-20T21:00:00,label_smoothing=0.05
submission,wbf_4model_tta,,,,,,,,,,,,,,,,382.1,,,,WBF 4-model (3x+s) + TTA
submission,softvote_3x_nv,,,,,,,,,,,,,,,,362.2,,,,SoftVote 3x + neighbor voting
